TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2022-04-28,Acropora palmata,0,15506.5,4312.5,67.03,0.0,32.9,
1,2022-04-28,Acropora palmata,1,15378.9,4205.0,53.47,0.0,29.3,
2,2022-04-28,Acropora palmata,2,14940.5,3308.9,71.81,0.0,38.0,
3,2022-04-28,Acropora palmata,3,14849.7,3302.5,26.65,0.0,19.8,
4,2022-04-28,Acropora palmata,4,14908.0,3406.9,22.15,0.0,17.9,
5,2022-04-28,Acropora palmata,5,10357.5,3318.7,123.71,0.0,47.6,
6,2022-04-28,Acropora palmata,6,8647.6,4388.2,125.32,0.0,49.9,
7,2022-04-28,Acropora palmata,7,5065.4,5453.3,85.32,0.0,42.3,
8,2022-04-28,Acropora palmata,8,6422.5,5089.4,114.72,0.0,57.5,
9,2022-04-28,Acropora palmata,9,9043.9,5367.0,114.1,0.0,46.8,
10,2022-04-28,Acropora palmata,10,10956.5,5318.2,82.03,0.0,45.8,
11,2022-04-28,Acropora palmata,11,10859.5,5371.3,26.44,0.0,24.4,
12,2022-04-28,Acropora palmata,12,11914.4,5499.2,21.86,0.0,17.4,
13,2022-04-28,Acropora palmata,13,11867.6,5566.7,20.52,0.0,17.0,
14,2022-04-28,Acropora palmata,14,11953.0,5595.7,41.29,0.0,29.0,
15,2022-04-28,Acropora palmata,15,14478.7,4626.7,34.89,0.0,22.3,
16,2022-04-28,Acropora palmata,16,14628.8,4658.4,39.81,0.0,24.1,
17,2022-04-28,Acropora palmata,17,14545.3,4677.4,38.82,0.0,23.4,
18,2022-04-28,Acropora palmata,18,14503.4,4747.3,34.87,0.0,22.4,
19,2022-04-28,Acropora palmata,19,15176.2,4644.5,156.64,0.0,68.2,
20,2022-04-28,Acropora palmata,20,27090.5,5324.8,308.05,0.0,70.4,
21,2022-04-28,Acropora palmata,21,27558.7,5461.2,297.29,0.0,70.3,
22,2022-04-28,Acropora palmata,22,27961.9,5370.9,181.05,0.0,58.7,
23,2022-04-28,Acropora palmata,23,27022.1,6325.5,299.89,0.0,73.2,
24,2022-04-28,Acropora palmata,24,27512.7,6061.3,209.07,0.0,60.4,
25,2022-04-28,Acropora palmata,25,26694.9,6301.2,66.67,0.0,37.5,
26,2022-04-28,Acropora palmata,26,28011.5,5830.0,185.7,0.0,55.1,
27,2022-04-28,Acropora palmata,27,29536.7,6727.7,216.09,0.0,60.2,
28,2022-04-28,Acropora palmata,28,27849.3,6881.9,193.53,0.0,68.2,
29,2022-04-28,Acropora palmata,29,12722.5,6859.0,52.96,0.0,30.3,
30,2022-04-28,Acropora palmata,30,12610.9,6903.4,60.35,0.0,35.5,
31,2022-04-28,Acropora palmata,31,15208.7,5942.7,53.0,0.0,31.5,
32,2022-04-28,Acropora palmata,32,15205.0,6044.1,46.97,0.0,34.8,
33,2022-04-28,Acropora palmata,33,15173.8,6917.2,32.4,0.0,22.1,
34,2022-04-28,Acropora palmata,34,15111.7,6996.1,56.97,0.0,35.6,
35,2022-04-28,Acropora palmata,35,15190.3,6992.0,27.53,0.0,20.0,
36,2022-04-28,Acropora palmata,36,12397.9,5910.7,69.83,0.0,38.8,
37,2022-04-28,Acropora palmata,37,6708.0,6334.6,90.59,0.0,55.0,
38,2022-04-28,Acropora palmata,38,6792.9,6375.8,29.31,0.0,21.0,
39,2022-04-28,Acropora palmata,39,8441.0,6307.9,24.42,0.0,18.6,
40,2022-04-28,Acropora palmata,40,8463.0,6373.9,45.97,0.0,28.4,
41,2022-04-28,Acropora palmata,41,8475.0,6440.2,23.77,0.0,18.3,
42,2022-04-28,Acropora palmata,42,6670.2,7652.8,109.22,0.0,51.0,
43,2022-04-28,Acropora palmata,43,10673.2,7610.4,113.53,0.0,62.0,
44,2022-04-28,Acropora palmata,44,10744.3,7939.4,24.99,0.0,18.8,
45,2022-04-28,Acropora palmata,45,10805.0,7982.1,26.88,0.0,19.5,
46,2022-04-28,Acropora palmata,46,10779.4,8068.2,51.91,0.0,33.9,
47,2022-04-28,Acropora palmata,47,13097.2,7490.9,135.4,0.0,57.4,
48,2022-04-28,Acropora palmata,48,14486.8,7871.0,25.85,0.0,19.4,
49,2022-04-28,Acropora palmata,49,14461.7,7943.3,55.65,0.0,34.0,
50,2022-04-28,Acropora palmata,50,14433.7,8018.7,21.95,0.0,18.0,
51,2022-04-28,Acropora palmata,51,15215.6,8030.5,135.87,0.0,65.6,
52,2022-04-28,Acropora palmata,52,26204.3,7832.5,294.31,0.0,68.8,
53,2022-04-28,Acropora palmata,53,26758.0,7827.5,246.47,0.0,70.1,
54,2022-04-28,Acropora palmata,54,26737.8,7616.4,162.05,0.0,74.6,
