TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2022-04-28,Acropora palmata,0,4985.2,6142.5,16.86,0.0,16.2,
1,2022-04-28,Acropora palmata,0,5011.5,6088.7,13.91,0.0,14.2,
2,2022-04-28,Acropora palmata,0,5514.2,5561.7,68.42,0.0,38.3,
3,2022-04-28,Acropora palmata,0,20536.3,7215.7,141.17,0.0,48.8,
4,2022-04-28,Acropora palmata,0,10167.2,7302.8,34.65,0.0,25.6,
5,2022-04-28,Acropora palmata,0,10105.9,7349.1,16.3,0.0,15.5,
6,2022-04-28,Acropora palmata,0,10157.5,7372.0,17.64,0.0,16.0,
7,2022-04-28,Acropora palmata,0,9538.5,7178.3,14.67,0.0,14.5,
8,2022-04-28,Acropora palmata,0,9537.3,7233.6,42.6,0.0,38.6,
9,2022-04-28,Acropora palmata,0,7240.7,7391.1,13.63,0.0,14.6,
10,2022-04-28,Acropora palmata,0,7194.0,7436.6,17.54,0.0,18.4,
11,2022-04-28,Acropora palmata,0,7249.5,7448.6,9.61,0.0,18.2,
12,2022-04-28,Acropora palmata,0,5992.8,7560.7,14.11,0.0,15.0,
13,2022-04-28,Acropora palmata,0,5954.0,7600.8,28.24,0.0,26.9,
14,2022-04-28,Acropora palmata,0,5340.0,7262.5,12.78,0.0,15.1,
15,2022-04-28,Acropora palmata,0,5297.5,7293.0,11.66,0.0,12.7,
16,2022-04-28,Acropora palmata,0,4934.5,7360.6,26.63,0.0,30.3,
17,2022-04-28,Acropora palmata,0,3983.9,8490.7,11.97,0.0,13.0,
18,2022-04-28,Acropora palmata,0,4788.4,7755.8,12.06,0.0,13.3,
19,2022-04-28,Acropora palmata,0,5530.8,7893.6,10.04,0.0,12.2,
20,2022-04-28,Acropora palmata,0,5592.5,7907.0,6.17,0.0,9.4,
21,2022-04-28,Acropora palmata,0,5899.0,8240.6,12.28,0.0,13.2,
22,2022-04-28,Acropora palmata,0,6204.2,8423.5,37.13,0.0,30.5,
23,2022-04-28,Acropora palmata,0,6635.0,8400.0,15.61,0.0,16.4,
24,2022-04-28,Acropora palmata,0,6567.1,8413.7,13.87,0.0,14.6,
25,2022-04-28,Acropora palmata,0,7418.1,7822.3,13.56,0.0,13.8,
26,2022-04-28,Acropora palmata,0,7351.5,7841.0,11.68,0.0,12.8,
27,2022-04-28,Acropora palmata,0,7426.4,7872.4,14.94,0.0,14.7,
28,2022-04-28,Acropora palmata,0,7371.8,7893.8,17.51,0.0,15.9,
29,2022-04-28,Acropora palmata,0,11250.4,8713.8,55.08,0.0,49.8,
30,2022-04-28,Acropora palmata,0,12062.9,8601.7,10.49,0.0,12.4,
31,2022-04-28,Acropora palmata,0,11989.7,8621.2,10.87,0.0,12.4,
32,2022-04-28,Acropora palmata,0,12044.6,8663.6,22.0,0.0,25.1,
33,2022-04-28,Acropora palmata,0,21977.9,8092.8,66.56,0.0,42.2,
34,2022-04-28,Acropora palmata,0,28380.3,8329.9,135.61,0.0,50.9,
35,2022-04-28,Acropora palmata,0,28731.5,8500.8,165.39,0.0,59.7,
36,2022-04-28,Acropora palmata,0,28496.4,8977.8,118.59,0.0,50.0,
37,2022-04-28,Acropora palmata,0,28186.1,9386.3,110.96,0.0,40.8,
38,2022-04-28,Acropora palmata,0,27567.5,9559.5,178.03,0.0,56.4,
39,2022-04-28,Acropora palmata,0,27440.1,9255.5,187.34,0.0,55.8,
40,2022-04-28,Acropora palmata,0,27414.7,9704.6,14.58,0.0,14.5,
