TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2023-01-10,Acropora cervicornis,0,7628.1,4358.0,140.13,0.0,84.1,
1,2023-01-10,Acropora cervicornis,1,5427.4,5239.5,14.52,0.0,17.7,
2,2023-01-10,Acropora cervicornis,2,5493.8,5124.4,7.43,0.0,14.2,
3,2023-01-10,Acropora cervicornis,3,6810.3,4908.3,24.98,0.0,30.5,
4,2023-01-10,Acropora cervicornis,4,6709.7,5077.4,13.23,0.0,23.1,
5,2023-01-10,Acropora cervicornis,5,6808.1,5083.9,29.61,0.0,36.1,
6,2023-01-10,Acropora cervicornis,6,23724.1,6810.5,472.43,0.0,123.9,
7,2023-01-10,Acropora cervicornis,7,23996.0,6793.9,14.02,0.0,16.8,
8,2023-01-10,Acropora cervicornis,8,6562.1,6414.9,295.73,0.0,92.0,
9,2023-01-10,Acropora cervicornis,9,6770.0,7457.0,14.6,0.0,17.1,
10,2023-01-10,Acropora cervicornis,10,6766.9,7625.3,56.88,0.0,51.9,
11,2023-01-10,Acropora cervicornis,11,7486.7,7762.2,199.65,0.0,148.6,
12,2023-01-10,Acropora cervicornis,12,7338.1,7681.1,6.63,0.0,13.2,
13,2023-01-10,Acropora cervicornis,13,7897.7,7073.2,790.99,0.0,148.7,
14,2023-01-10,Acropora cervicornis,14,12326.6,7460.4,325.21,0.0,112.4,
15,2023-01-10,Acropora cervicornis,15,15591.3,7908.1,286.42,0.0,155.9,
16,2023-01-10,Acropora cervicornis,16,17556.6,7763.7,247.31,0.0,112.4,
17,2023-01-10,Acropora cervicornis,17,21868.7,7856.6,651.24,0.0,134.4,
18,2023-01-10,Acropora cervicornis,18,24863.8,7755.9,483.54,0.0,112.3,
19,2023-01-10,Acropora cervicornis,19,25889.7,7274.4,118.77,0.0,81.3,
20,2023-01-10,Acropora cervicornis,20,27455.5,7211.5,233.49,0.0,94.0,
21,2023-01-10,Acropora cervicornis,21,23899.1,8603.8,356.32,0.0,207.0,
22,2023-01-10,Acropora cervicornis,0,22676.6,8855.0,383.26,0.0,92.7,
23,2023-01-10,Acropora cervicornis,0,18455.7,8445.7,647.63,0.0,130.1,
24,2023-01-10,Acropora cervicornis,0,13644.8,8014.5,506.3,0.0,116.5,
25,2023-01-10,Acropora cervicornis,0,11783.4,9031.1,191.34,0.0,64.6,
26,2023-01-10,Acropora cervicornis,0,9950.0,8179.1,34.11,0.0,25.7,
27,2023-01-10,Acropora cervicornis,0,10317.9,8994.3,456.99,0.0,153.3,
28,2023-01-10,Acropora cervicornis,0,6611.2,8311.6,144.16,0.0,70.7,
29,2023-01-10,Acropora cervicornis,0,5720.5,8136.4,158.14,0.0,95.2,
30,2023-01-10,Acropora cervicornis,0,12957.8,9762.5,500.71,0.0,110.7,
31,2023-01-10,Acropora cervicornis,0,12498.6,10098.7,56.77,0.0,45.6,
32,2023-01-10,Acropora cervicornis,0,15378.4,10064.3,213.59,0.0,109.4,
33,2023-01-10,Acropora cervicornis,0,16684.2,9649.9,362.1,0.0,151.0,
34,2023-01-10,Acropora cervicornis,0,17225.0,9808.6,77.48,0.0,45.5,
35,2023-01-10,Acropora cervicornis,0,17711.3,9583.5,374.26,0.0,185.5,
36,2023-01-10,Acropora cervicornis,0,21934.2,9873.9,483.51,0.0,117.5,
37,2023-01-10,Acropora cervicornis,0,25826.3,10505.5,70.65,0.0,66.4,
38,2023-01-10,Acropora cervicornis,0,24435.8,10876.4,9.57,0.0,14.6,
39,2023-01-10,Acropora cervicornis,0,23430.8,10503.0,79.41,0.0,71.2,
40,2023-01-10,Acropora cervicornis,0,21827.1,10821.0,367.01,0.0,130.0,
41,2023-01-10,Acropora cervicornis,0,21956.9,10874.6,19.26,0.0,22.9,
42,2023-01-10,Acropora cervicornis,0,20654.5,10722.7,322.09,0.0,77.4,
43,2023-01-10,Acropora cervicornis,0,20798.3,11049.9,31.62,0.0,42.6,
44,2023-01-10,Acropora cervicornis,0,20279.0,10842.0,135.4,0.0,76.8,
45,2023-01-10,Acropora cervicornis,0,20295.9,10381.3,24.76,0.0,21.5,
46,2023-01-10,Acropora cervicornis,0,18271.4,10145.3,515.67,0.0,110.1,
47,2023-01-10,Acropora cervicornis,0,16717.5,10417.9,610.47,0.0,129.9,
48,2023-01-10,Acropora cervicornis,0,15533.3,11046.8,416.86,0.0,128.3,
49,2023-01-10,Acropora cervicornis,0,13347.0,10949.1,484.73,0.0,122.5,
50,2023-01-10,Acropora cervicornis,0,17552.6,11491.1,240.81,0.0,92.7,
