TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2023-10-10,Acropora cervicornis,0,5204.9,6906.5,217.24,0.0,202.5,
1,2023-10-10,Acropora cervicornis,0,4062.0,9263.4,150.95,0.0,123.3,
2,2023-10-10,Acropora cervicornis,0,3867.7,9673.5,33.76,0.0,44.6,
3,2023-10-10,Acropora cervicornis,0,4873.2,5729.6,52.57,0.0,70.9,
4,2023-10-10,Acropora cervicornis,0,4316.9,5173.3,221.23,0.0,145.1,
5,2023-10-10,Acropora cervicornis,0,5573.7,5102.5,228.06,0.0,120.2,
6,2023-10-10,Acropora cervicornis,0,5217.9,10359.7,267.46,0.0,199.2,
7,2023-10-10,Acropora cervicornis,0,1353.6,12947.9,97.85,0.0,126.5,
8,2023-10-10,Acropora cervicornis,0,2370.8,11654.1,227.46,0.0,165.7,
9,2023-10-10,Acropora cervicornis,0,4111.3,12197.1,255.45,0.0,131.4,
10,2023-10-10,Acropora cervicornis,0,4728.0,11535.9,21.99,0.0,33.2,
11,2023-10-10,Acropora cervicornis,0,5568.3,11970.3,197.77,0.0,178.4,
12,2023-10-10,Acropora cervicornis,0,6670.7,13312.7,92.78,0.0,106.9,
13,2023-10-10,Acropora cervicornis,0,5727.4,14551.2,170.87,0.0,122.5,
14,2023-10-10,Acropora cervicornis,0,4989.9,15928.7,57.13,0.0,92.2,
15,2023-10-10,Acropora cervicornis,0,4929.7,16255.5,89.93,0.0,83.4,
16,2023-10-10,Acropora cervicornis,0,4686.5,16506.4,17.25,0.0,31.6,
17,2023-10-10,Acropora cervicornis,0,4980.7,16589.8,17.87,0.0,31.6,
18,2023-10-10,Acropora cervicornis,0,5573.1,17939.0,67.73,0.0,91.4,
19,2023-10-10,Acropora cervicornis,0,4981.8,18047.9,19.3,0.0,30.4,
20,2023-10-10,Acropora cervicornis,0,7299.5,5566.8,176.98,0.0,145.1,
21,2023-10-10,Acropora cervicornis,0,7531.9,5981.1,28.58,0.0,31.7,
22,2023-10-10,Acropora cervicornis,0,6797.9,3885.4,211.97,0.0,113.9,
23,2023-10-10,Acropora cervicornis,0,7256.9,3626.5,41.96,0.0,38.7,
24,2023-10-10,Acropora cervicornis,0,7039.4,1661.6,257.72,0.0,189.9,
25,2023-10-10,Acropora cervicornis,0,8259.3,4154.3,154.77,0.0,129.0,
26,2023-10-10,Acropora cervicornis,0,9312.7,2692.6,233.27,0.0,132.1,
27,2023-10-10,Acropora cervicornis,0,10470.0,3156.4,197.88,0.0,95.8,
28,2023-10-10,Acropora cervicornis,0,8967.9,6177.7,210.61,0.0,105.4,
29,2023-10-10,Acropora cervicornis,0,11549.3,15341.0,156.5,0.0,111.5,
30,2023-10-10,Acropora cervicornis,0,9945.1,17800.4,9.67,0.0,16.1,
32,2023-10-10,Acropora cervicornis,0,9506.9,18258.0,21.72,0.0,36.1,
33,2023-10-10,Acropora cervicornis,0,9776.8,18352.4,45.39,0.0,51.6,
31,2023-10-10,Acropora cervicornis,0,9659.1,18002.6,25.22,0.0,29.1,
34,2023-10-10,Acropora cervicornis,0,12585.9,12021.7,170.14,0.0,134.1,
35,2023-10-10,Acropora cervicornis,0,16659.0,6838.3,328.31,0.0,159.9,
36,2023-10-10,Acropora cervicornis,0,12538.0,10118.7,118.96,0.0,65.0,
