TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2022-12-09,Acropora cervicornis,0,10157.3,3579.0,80.49,0.0,64.3,
1,2022-12-09,Acropora cervicornis,1,13427.6,3369.8,52.51,0.0,44.5,
2,2022-12-09,Acropora cervicornis,2,18982.9,5477.7,137.41,0.0,88.8,
3,2022-12-09,Acropora cervicornis,3,18995.6,5602.1,12.07,0.0,13.8,
4,2022-12-09,Acropora cervicornis,4,20924.8,5301.3,5.38,0.0,10.5,
5,2022-12-09,Acropora cervicornis,5,17532.3,5522.7,196.32,0.0,126.3,
6,2022-12-09,Acropora cervicornis,6,14222.6,4308.7,38.94,0.0,38.1,
7,2022-12-09,Acropora cervicornis,7,14280.0,4343.1,15.94,0.0,16.4,
8,2022-12-09,Acropora cervicornis,8,14182.8,4371.8,4.63,0.0,8.3,
9,2022-12-09,Acropora cervicornis,9,14204.7,4463.3,36.04,0.0,34.3,
10,2022-12-09,Acropora cervicornis,10,13651.4,4878.3,157.33,0.0,110.0,
11,2022-12-09,Acropora cervicornis,11,14256.9,5501.0,27.86,0.0,28.3,
12,2022-12-09,Acropora cervicornis,12,14273.3,5571.4,11.02,0.0,13.9,
13,2022-12-09,Acropora cervicornis,13,14199.2,5665.5,116.99,0.0,71.6,
14,2022-12-09,Acropora cervicornis,14,10680.2,5489.7,53.59,0.0,52.2,
15,2022-12-09,Acropora cervicornis,15,9270.3,4570.4,36.54,0.0,31.7,
16,2022-12-09,Acropora cervicornis,16,9289.3,4698.1,74.86,0.0,51.5,
17,2022-12-09,Acropora cervicornis,17,6304.0,4148.3,18.12,0.0,19.1,
18,2022-12-09,Acropora cervicornis,18,6387.9,4181.2,28.15,0.0,23.4,
19,2022-12-09,Acropora cervicornis,19,6467.2,4225.0,8.66,0.0,11.3,
20,2022-12-09,Acropora cervicornis,20,5586.9,5967.8,67.36,0.0,46.4,
21,2022-12-09,Acropora cervicornis,21,6229.9,6948.8,22.67,0.0,36.2,
22,2022-12-09,Acropora cervicornis,22,9003.6,5672.2,56.41,0.0,49.0,
23,2022-12-09,Acropora cervicornis,23,9448.6,6917.0,33.62,0.0,31.9,
24,2022-12-09,Acropora cervicornis,24,13060.7,6075.2,23.67,0.0,23.3,
25,2022-12-09,Acropora cervicornis,25,12946.2,6100.1,28.42,0.0,29.8,
26,2022-12-09,Acropora cervicornis,26,13642.5,5955.8,13.4,0.0,17.4,
