TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2022-06-10,Acropora palmata,0,17220.8,5643.1,120.52,0.0,57.9,
1,2022-06-10,Acropora palmata,1,18392.0,6090.1,85.3,0.0,40.8,
2,2022-06-10,Acropora palmata,2,18469.2,6882.5,78.45,0.0,41.2,
3,2022-06-10,Acropora palmata,3,17509.4,7891.2,283.06,0.0,82.0,
4,2022-06-10,Acropora palmata,4,15144.9,7710.5,110.9,0.0,48.9,
5,2022-06-10,Acropora palmata,5,15800.3,6204.2,24.56,0.0,20.6,
6,2022-06-10,Acropora palmata,6,15030.9,6498.8,77.51,0.0,35.1,
7,2022-06-10,Acropora palmata,7,4809.7,9087.9,116.85,0.0,59.4,
8,2022-06-10,Acropora palmata,8,10194.3,8604.7,25.14,0.0,24.6,
9,2022-06-10,Acropora palmata,9,13646.8,8688.2,19.98,0.0,17.0,
10,2022-06-10,Acropora palmata,10,15209.1,8708.5,118.04,0.0,45.6,
11,2022-06-10,Acropora palmata,11,13784.3,9686.9,12.78,0.0,14.2,
12,2022-06-10,Acropora palmata,12,18774.0,10469.3,30.98,0.0,26.7,
13,2022-06-10,Acropora palmata,13,21323.1,8486.1,12.39,0.0,13.5,
14,2022-06-10,Acropora palmata,14,21250.1,8620.8,69.27,0.0,38.0,
15,2022-06-10,Acropora palmata,15,21840.4,9651.0,19.35,0.0,16.6,
16,2022-06-10,Acropora palmata,16,21925.3,9817.2,37.72,0.0,26.0,
17,2022-06-10,Acropora palmata,17,21769.6,9801.2,18.62,0.0,16.9,
18,2022-06-10,Acropora palmata,18,21837.4,10147.8,25.65,0.0,19.5,
19,2022-06-10,Acropora palmata,19,22192.4,10777.2,111.73,0.0,43.4,
20,2022-06-10,Acropora palmata,20,22422.2,10179.8,145.46,0.0,48.0,
21,2022-06-10,Acropora palmata,21,22561.9,9551.1,47.36,0.0,27.9,
22,2022-06-10,Acropora palmata,22,22826.3,12754.0,147.68,0.0,48.2,
23,2022-06-10,Acropora palmata,23,22761.4,13436.3,107.42,0.0,42.5,
24,2022-06-10,Acropora palmata,24,22193.5,13118.8,125.79,0.0,49.5,
25,2022-06-10,Acropora palmata,25,22091.8,13797.5,59.3,0.0,31.9,
26,2022-06-10,Acropora palmata,26,23131.0,14344.3,102.18,0.0,44.3,
27,2022-06-10,Acropora palmata,27,16182.7,14127.9,14.37,0.0,16.5,
28,2022-06-10,Acropora palmata,28,9651.0,12624.5,48.27,0.0,32.2,
29,2022-06-10,Acropora palmata,29,8026.5,14011.6,14.06,0.0,14.8,
30,2022-06-10,Acropora palmata,30,8033.1,14166.1,18.18,0.0,17.3,
31,2022-06-10,Acropora palmata,31,8642.1,12999.2,18.76,0.0,17.0,
32,2022-06-10,Acropora palmata,32,6890.7,15733.8,24.89,0.0,25.0,
33,2022-06-10,Acropora palmata,33,7778.4,14659.9,8.25,0.0,12.0,
34,2022-06-10,Acropora palmata,34,10204.6,17236.7,145.94,0.0,49.1,
35,2022-06-10,Acropora palmata,35,11165.2,16941.3,40.55,0.0,33.5,
36,2022-06-10,Acropora palmata,36,13237.2,16685.7,35.74,0.0,25.9,
37,2022-06-10,Acropora palmata,37,14143.5,17245.5,79.99,0.0,37.0,
38,2022-06-10,Acropora palmata,38,14516.4,16759.4,27.49,0.0,23.7,
39,2022-06-10,Acropora palmata,39,15589.3,16122.6,64.27,0.0,36.6,
40,2022-06-10,Acropora palmata,40,15902.9,15504.1,71.39,0.0,39.0,
41,2022-06-10,Acropora palmata,41,16702.5,14783.6,132.7,0.0,48.5,
42,2022-06-10,Acropora palmata,42,16627.4,14305.5,13.39,0.0,16.4,
43,2022-06-10,Acropora palmata,43,15416.9,15773.2,20.55,0.0,21.2,
44,2022-06-10,Acropora palmata,44,14079.4,16649.4,2.35,0.0,7.8,
45,2022-06-10,Acropora palmata,0,16972.6,16070.2,115.72,0.0,50.3,
46,2022-06-10,Acropora palmata,0,18064.1,16477.0,10.91,0.0,12.8,
47,2022-06-10,Acropora palmata,0,18286.0,16508.5,1.01,0.0,4.8,
48,2022-06-10,Acropora palmata,0,18855.7,15993.4,10.42,0.0,14.3,
49,2022-06-10,Acropora palmata,0,19296.8,15986.1,45.56,0.0,31.3,
50,2022-06-10,Acropora palmata,0,19280.8,16827.5,18.21,0.0,17.1,
51,2022-06-10,Acropora palmata,0,20687.6,16819.4,18.91,0.0,17.0,
52,2022-06-10,Acropora palmata,0,21816.2,17306.3,42.51,0.0,29.7,
53,2022-06-10,Acropora palmata,0,22366.1,16592.6,14.68,0.0,15.6,
54,2022-06-10,Acropora palmata,0,22276.4,16715.1,6.14,0.0,9.5,
55,2022-06-10,Acropora palmata,0,23333.8,16154.4,63.6,0.0,34.7,
56,2022-06-10,Acropora palmata,0,23268.0,16314.6,8.03,0.0,11.7,
57,2022-06-10,Acropora palmata,0,23441.9,16318.5,9.04,0.0,12.3,
58,2022-06-10,Acropora palmata,0,22419.6,15483.9,104.51,0.0,44.8,
59,2022-06-10,Acropora palmata,0,23910.6,16334.5,146.39,0.0,51.3,
60,2022-06-10,Acropora palmata,0,24388.6,19376.3,110.23,0.0,43.0,
61,2022-06-10,Acropora palmata,0,23460.2,19183.0,109.63,0.0,45.6,
62,2022-06-10,Acropora palmata,0,21464.8,17431.6,49.97,0.0,29.9,
63,2022-06-10,Acropora palmata,0,21511.7,17688.0,23.48,0.0,19.7,
64,2022-06-10,Acropora palmata,0,21777.3,19234.7,74.44,0.0,44.1,
65,2022-06-10,Acropora palmata,0,22710.6,19895.6,104.57,0.0,44.8,
66,2022-06-10,Acropora palmata,0,22802.4,20200.1,102.67,0.0,41.6,
67,2022-06-10,Acropora palmata,0,22310.8,20515.2,89.96,0.0,39.8,
68,2022-06-10,Acropora palmata,0,18242.4,18285.7,7.63,0.0,11.3,
69,2022-06-10,Acropora palmata,0,18569.8,18837.5,7.41,0.0,10.7,
70,2022-06-10,Acropora palmata,0,19221.6,18613.6,7.51,0.0,12.5,
71,2022-06-10,Acropora palmata,0,14001.6,17746.9,13.15,0.0,13.6,
72,2022-06-10,Acropora palmata,0,14200.1,17833.9,44.27,0.0,31.5,
73,2022-06-10,Acropora palmata,0,14251.1,17994.2,18.18,0.0,16.3,
74,2022-06-10,Acropora palmata,0,15811.8,18468.5,69.85,0.0,40.3,
75,2022-06-10,Acropora palmata,0,15696.3,19726.4,58.69,0.0,31.7,
76,2022-06-10,Acropora palmata,0,14971.4,20325.2,114.07,0.0,43.1,
77,2022-06-10,Acropora palmata,0,14388.5,19577.1,109.85,0.0,45.4,
78,2022-06-10,Acropora palmata,0,15216.8,19199.6,29.99,0.0,23.2,
79,2022-06-10,Acropora palmata,0,14522.4,18985.1,135.08,0.0,68.4,
80,2022-06-10,Acropora palmata,0,10035.3,18743.1,57.59,0.0,33.6,
81,2022-06-10,Acropora palmata,0,9799.3,20243.0,68.27,0.0,37.3,
82,2022-06-10,Acropora palmata,0,7212.6,17714.8,110.4,0.0,45.4,
83,2022-06-10,Acropora palmata,0,6493.2,18936.3,122.89,0.0,43.5,
84,2022-06-10,Acropora palmata,0,7243.7,19183.4,126.54,0.0,49.5,
85,2022-06-10,Acropora palmata,0,6014.7,20794.6,8.96,0.0,13.4,
86,2022-06-10,Acropora palmata,0,5891.9,20913.4,6.01,0.0,10.8,
87,2022-06-10,Acropora palmata,0,6549.9,23468.6,64.0,0.0,34.3,
88,2022-06-10,Acropora palmata,0,6854.6,22660.4,102.84,0.0,41.7,
89,2022-06-10,Acropora palmata,0,7511.3,22203.0,137.95,0.0,49.2,
90,2022-06-10,Acropora palmata,0,8063.7,21576.5,117.37,0.0,45.1,
91,2022-06-10,Acropora palmata,0,6031.6,23888.4,32.49,0.0,26.2,
92,2022-06-10,Acropora palmata,0,9547.1,25817.0,121.27,0.0,45.1,
93,2022-06-10,Acropora palmata,0,9919.5,23563.2,109.67,0.0,46.5,
94,2022-06-10,Acropora palmata,0,9729.8,24413.2,82.18,0.0,45.1,
95,2022-06-10,Acropora palmata,0,10410.7,21827.1,33.89,0.0,36.2,
96,2022-06-10,Acropora palmata,0,10577.9,22237.2,122.73,0.0,46.0,
97,2022-06-10,Acropora palmata,0,11829.3,22825.6,149.4,0.0,53.7,
98,2022-06-10,Acropora palmata,0,12091.3,21957.0,87.52,0.0,42.4,
99,2022-06-10,Acropora palmata,0,11996.8,22097.8,15.88,0.0,15.0,
100,2022-06-10,Acropora palmata,0,13871.1,20631.4,46.36,0.0,28.4,
101,2022-06-10,Acropora palmata,0,14135.3,23278.4,104.95,0.0,41.5,
102,2022-06-10,Acropora palmata,0,15830.7,22911.4,108.73,0.0,54.1,
103,2022-06-10,Acropora palmata,0,17286.7,21511.4,51.7,0.0,32.0,
104,2022-06-10,Acropora palmata,0,17498.3,21874.4,48.86,0.0,28.1,
105,2022-06-10,Acropora palmata,0,17578.1,22083.2,28.58,0.0,22.7,
106,2022-06-10,Acropora palmata,0,18191.3,22499.6,121.18,0.0,44.4,
107,2022-06-10,Acropora palmata,0,18676.2,21355.3,105.48,0.0,43.4,
108,2022-06-10,Acropora palmata,0,19339.0,21594.2,30.29,0.0,21.5,
109,2022-06-10,Acropora palmata,0,19131.5,21624.1,34.58,0.0,23.9,
110,2022-06-10,Acropora palmata,0,20055.9,21573.3,20.09,0.0,17.3,
111,2022-06-10,Acropora palmata,0,20233.1,23225.0,102.95,0.0,43.9,
112,2022-06-10,Acropora palmata,0,18020.2,21899.5,8.33,0.0,19.9,
113,2022-06-10,Acropora palmata,0,20435.5,21055.7,5.25,0.0,8.8,
