TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2022-04-28,Acropora palmata,0,9392.4,2598.0,10.9,0.0,13.8,
1,2022-04-28,Acropora palmata,1,15651.0,4248.3,74.06,0.0,47.4,
2,2022-04-28,Acropora palmata,2,16534.2,5031.3,42.89,0.0,27.6,
3,2022-04-28,Acropora palmata,3,16448.0,5068.5,41.87,0.0,27.7,
4,2022-04-28,Acropora palmata,4,17113.1,4368.5,81.4,0.0,57.4,
5,2022-04-28,Acropora palmata,5,21516.4,4904.9,53.8,0.0,34.9,
6,2022-04-28,Acropora palmata,6,23555.6,6116.6,69.19,0.0,34.7,
7,2022-04-28,Acropora palmata,7,24739.7,6106.3,49.95,0.0,34.8,
8,2022-04-28,Acropora palmata,8,24822.4,6147.6,18.69,0.0,17.3,
9,2022-04-28,Acropora palmata,9,25044.1,6065.4,71.46,0.0,47.9,
10,2022-04-28,Acropora palmata,10,24344.4,5604.3,44.73,0.0,36.2,
11,2022-04-28,Acropora palmata,11,22826.3,5447.6,42.96,0.0,37.2,
12,2022-04-28,Acropora palmata,12,22763.7,5440.8,12.13,0.0,13.9,
13,2022-04-28,Acropora palmata,13,21464.2,5109.7,15.82,0.0,15.1,
14,2022-04-28,Acropora palmata,14,19787.5,5167.9,46.8,0.0,28.9,
15,2022-04-28,Acropora palmata,15,19841.4,5249.5,11.1,0.0,12.7,
16,2022-04-28,Acropora palmata,16,20275.9,5486.5,15.42,0.0,15.1,
17,2022-04-28,Acropora palmata,17,20246.2,5586.0,25.17,0.0,23.5,
18,2022-04-28,Acropora palmata,18,20309.4,5597.7,13.48,0.0,13.9,
19,2022-04-28,Acropora palmata,19,19917.6,5804.5,41.34,0.0,27.7,
20,2022-04-28,Acropora palmata,20,19911.5,5902.9,14.07,0.0,14.1,
21,2022-04-28,Acropora palmata,21,17800.9,5756.5,60.98,0.0,48.3,
22,2022-04-28,Acropora palmata,22,16459.6,6016.5,73.36,0.0,38.3,
23,2022-04-28,Acropora palmata,23,15546.0,5337.4,10.68,0.0,13.3,
24,2022-04-28,Acropora palmata,24,15612.6,5394.1,12.84,0.0,13.6,
25,2022-04-28,Acropora palmata,25,15470.4,5415.9,2.7,0.0,6.7,
26,2022-04-28,Acropora palmata,26,13193.0,5385.1,39.94,0.0,27.3,
27,2022-04-28,Acropora palmata,27,2357.3,5638.2,26.27,0.0,20.1,
28,2022-04-28,Acropora palmata,28,13587.1,6806.8,10.85,0.0,12.8,
29,2022-04-28,Acropora palmata,29,14788.5,7116.3,54.1,0.0,42.6,
30,2022-04-28,Acropora palmata,30,14859.8,7128.4,16.98,0.0,15.6,
31,2022-04-28,Acropora palmata,31,15528.1,6655.4,39.89,0.0,27.7,
32,2022-04-28,Acropora palmata,32,15628.2,6670.8,44.57,0.0,31.3,
33,2022-04-28,Acropora palmata,33,15792.5,7084.1,55.69,0.0,35.0,
34,2022-04-28,Acropora palmata,34,15810.8,7180.6,20.38,0.0,16.9,
35,2022-04-28,Acropora palmata,35,16559.9,7213.5,52.39,0.0,38.3,
36,2022-04-28,Acropora palmata,36,16673.3,6882.7,16.54,0.0,15.2,
37,2022-04-28,Acropora palmata,37,16836.7,6925.3,16.41,0.0,15.2,
38,2022-04-28,Acropora palmata,38,16723.9,6956.1,16.97,0.0,15.6,
39,2022-04-28,Acropora palmata,39,16748.7,7042.7,11.92,0.0,13.0,
40,2022-04-28,Acropora palmata,40,17279.8,6643.8,15.27,0.0,14.5,
41,2022-04-28,Acropora palmata,41,17362.3,6673.1,15.68,0.0,14.7,
42,2022-04-28,Acropora palmata,42,17254.3,6716.8,32.53,0.0,27.4,
43,2022-04-28,Acropora palmata,43,17460.4,6630.9,13.86,0.0,14.3,
44,2022-04-28,Acropora palmata,44,18776.6,6921.8,10.73,0.0,12.6,
45,2022-04-28,Acropora palmata,45,18746.7,6981.3,29.2,0.0,23.9,
46,2022-04-28,Acropora palmata,46,19320.0,6802.3,14.15,0.0,14.5,
47,2022-04-28,Acropora palmata,47,19280.1,6851.6,29.26,0.0,25.9,
48,2022-04-28,Acropora palmata,48,19200.2,6882.3,12.83,0.0,13.7,
49,2022-04-28,Acropora palmata,49,19509.7,6989.4,56.57,0.0,32.9,
50,2022-04-28,Acropora palmata,50,21000.8,6961.4,43.79,0.0,37.1,
51,2022-04-28,Acropora palmata,51,21051.1,6920.4,12.58,0.0,13.3,
52,2022-04-28,Acropora palmata,52,21139.9,6257.0,14.95,0.0,14.4,
53,2022-04-28,Acropora palmata,53,21098.6,6340.9,42.25,0.0,34.3,
54,2022-04-28,Acropora palmata,54,22727.9,6708.1,73.76,0.0,51.0,
55,2022-04-28,Acropora palmata,55,23478.6,6583.1,16.89,0.0,15.7,
56,2022-04-28,Acropora palmata,56,23357.0,6584.3,14.99,0.0,14.7,
57,2022-04-28,Acropora palmata,57,23412.3,6643.5,25.22,0.0,24.0,
58,2022-04-28,Acropora palmata,58,24028.3,6649.3,16.18,0.0,15.3,
59,2022-04-28,Acropora palmata,59,24104.5,6682.9,13.29,0.0,13.9,
60,2022-04-28,Acropora palmata,60,23981.5,6735.5,13.01,0.0,14.1,
61,2022-04-28,Acropora palmata,61,24058.4,6741.1,9.43,0.0,11.9,
62,2022-04-28,Acropora palmata,62,24652.9,6838.4,12.32,0.0,13.9,
63,2022-04-28,Acropora palmata,63,24776.2,6871.5,10.96,0.0,12.9,
64,2022-04-28,Acropora palmata,64,24706.2,6908.1,23.8,0.0,21.6,
65,2022-04-28,Acropora palmata,65,25493.7,6595.3,24.0,0.0,23.9,
66,2022-04-28,Acropora palmata,66,26581.1,8074.0,67.27,0.0,49.1,
67,2022-04-28,Acropora palmata,67,26045.7,7335.9,62.57,0.0,50.8,
68,2022-04-28,Acropora palmata,68,25577.4,7458.5,9.71,0.0,12.0,
69,2022-04-28,Acropora palmata,69,25551.7,7549.3,50.23,0.0,32.6,
70,2022-04-28,Acropora palmata,70,25589.9,7845.9,12.92,0.0,14.0,
71,2022-04-28,Acropora palmata,71,25514.7,7885.7,30.02,0.0,34.1,
72,2022-04-28,Acropora palmata,72,24946.3,8047.1,39.67,0.0,36.0,
73,2022-04-28,Acropora palmata,73,24992.7,8126.8,13.69,0.0,14.8,
74,2022-04-28,Acropora palmata,74,24774.1,7445.1,83.76,0.0,61.5,
75,2022-04-28,Acropora palmata,75,23254.5,7729.0,11.65,0.0,13.5,
76,2022-04-28,Acropora palmata,76,23375.9,7762.2,8.18,0.0,11.5,
77,2022-04-28,Acropora palmata,77,23314.3,7778.5,11.75,0.0,13.6,
78,2022-04-28,Acropora palmata,78,23370.7,7830.4,12.69,0.0,13.6,
79,2022-04-28,Acropora palmata,79,23615.4,8265.6,13.51,0.0,13.8,
80,2022-04-28,Acropora palmata,80,23701.7,8278.8,13.48,0.0,14.0,
81,2022-04-28,Acropora palmata,81,23664.0,8334.0,12.76,0.0,14.0,
82,2022-04-28,Acropora palmata,82,23707.2,8394.8,11.23,0.0,12.8,
83,2022-04-28,Acropora palmata,83,24282.8,8151.5,14.28,0.0,14.4,
84,2022-04-28,Acropora palmata,84,24269.2,8214.0,28.87,0.0,24.0,
85,2022-04-28,Acropora palmata,85,24177.2,8240.7,12.42,0.0,13.3,
86,2022-04-28,Acropora palmata,86,23718.4,7570.9,4.48,0.0,10.0,
87,2022-04-28,Acropora palmata,87,23644.7,7583.7,15.1,0.0,14.8,
88,2022-04-28,Acropora palmata,88,19697.6,7502.1,60.56,0.0,50.1,
89,2022-04-28,Acropora palmata,89,16221.3,7843.9,69.11,0.0,45.6,
90,2022-04-28,Acropora palmata,90,17142.0,7543.4,30.14,0.0,26.2,
91,2022-04-28,Acropora palmata,91,17175.8,7612.2,22.02,0.0,20.6,
92,2022-04-28,Acropora palmata,92,15669.9,7636.4,76.82,0.0,51.9,
93,2022-04-28,Acropora palmata,93,14586.8,8378.5,16.31,0.0,16.0,
94,2022-04-28,Acropora palmata,94,14529.0,8450.1,44.79,0.0,33.0,
95,2022-04-28,Acropora palmata,95,16497.5,8715.4,28.31,0.0,22.7,
96,2022-04-28,Acropora palmata,96,16364.7,8691.6,14.88,0.0,14.5,
97,2022-04-28,Acropora palmata,97,17727.0,8440.9,42.94,0.0,30.9,
98,2022-04-28,Acropora palmata,98,17764.7,8514.0,14.92,0.0,15.0,
99,2022-04-28,Acropora palmata,99,18603.5,8578.2,17.44,0.0,15.8,
100,2022-04-28,Acropora palmata,100,18513.8,8589.1,17.86,0.0,16.0,
101,2022-04-28,Acropora palmata,101,18637.9,8643.5,17.06,0.0,15.6,
102,2022-04-28,Acropora palmata,102,18549.5,8651.5,15.63,0.0,15.0,
103,2022-04-28,Acropora palmata,0,30173.8,8827.8,12.53,0.0,13.7,
104,2022-04-28,Acropora palmata,0,25399.8,8373.8,68.57,0.0,38.3,
105,2022-04-28,Acropora palmata,0,25910.7,8457.5,40.62,0.0,33.3,
106,2022-04-28,Acropora palmata,0,25826.0,8406.8,10.53,0.0,12.9,
