id,class,count,%,timePoint
-1,None,,,baseline
,Review,,,baseline
1,Turf,,,baseline
2,Turf_rubble,,,baseline
3,Lobophora variegata,,,baseline
4,Peyssonnelia,,,baseline
5,CCA,,,baseline
6,CCA_rubble,2,0.081833061,baseline
7,CCA_sick,,,baseline
8,Halimeda,,,baseline
9,Cyano,2,0.081833061,baseline
10,Neomeris,,,baseline
11,Tydemania,,,baseline
12,Avrainvillea,,,baseline
13,Brillo spike pad,,,baseline
14,Caulerpa,,,baseline
15,Chlorodesmis,,,baseline
16,Codium,,,baseline
17,Microdictyon,,,baseline
18,Palmophyllum,,,baseline
19,Rhipilia,,,baseline
20,Ulva,19,0.777414075,baseline
21,Valonia,,,baseline
22,Padina,1,0.04091653,baseline
23,Dictyosphaeria,3,0.122749591,baseline
24,Dictyota,,,baseline
25,Dictyopteris,,,baseline
26,Sargassum,3,0.122749591,baseline
27,Turbinaria,,,baseline
28,Galaxaura,,,baseline
29,Acanthophora,1,0.04091653,baseline
30,Asparagopsis,,,baseline
31,Hypnea,,,baseline
32,Liagora,,,baseline
33,Seagrass,,,baseline
34,Green crust,1,0.04091653,baseline
35,Green_macro,,,baseline
36,Brown crust,,,baseline
37,Brn_mac,,,baseline
38,Red_calc_mac,,,baseline
39,Red fleshy macro,,,baseline
40,Black crust,,,baseline
41,Acro_branch,,,baseline
42,Acro_tab,,,baseline
43,Acropora spp,,,baseline
44,Montipora capitata branching,,,baseline
45,Montipora capitata encrusting,,,baseline
46,Montipora capitata foliose,,,baseline
47,Monti_crust,,,baseline
48,Monti_crust,,,baseline
49,Montipora patula,,,baseline
50,Monti_branch,,,baseline
51,Monti_crust,,,baseline
52,Monti_foliose,,,baseline
53,Montipora spp,,,baseline
54,Pavona_cactus,,,baseline
55,Pavona_chiriq,,,baseline
56,Pavona_clavus,,,baseline
57,Pavona_duerdeni,,,baseline
58,Pavona_explanulata,,,baseline
59,Pavona_maldive,,,baseline
60,Pavona_varians,46,1.882160393,baseline
61,Unk_Pavona_crust,,,baseline
62,Unk_Pavona_foliose,,,baseline
63,Unk_Pavona_massive,,,baseline
64,Pavona spp,,,baseline
65,Pocillopora damicornis,,,baseline
66,Pocillopora eydouxi,,,baseline
67,Pocillopora ligulata,67,2.741407529,baseline
68,Pocillopora meandrina/verrucosa,,,baseline
69,Pocillopora zelli,,,baseline
70,Pocillopora spp.,,,baseline
71,Porites arnaudi foliose,,,baseline
72,Porites arnoudi massive,58,2.373158756,baseline
73,Porites compressa,1288,52.700491,baseline
74,Porites cylindrica,935,38.25695581,baseline
75,Porites evermanni,3,0.122749591,baseline
76,Porites lichen,15,0.613747954,baseline
77,Porites lichen,,,baseline
78,Porites lobata crust,,,baseline
79,Porites lobata mass,,,baseline
80,Porites rus branch,,,baseline
81,Porites rus encrusting,,,baseline
82,Porites rus foliose,,,baseline
83,Porites superfusa,,,baseline
84,Porites spp_branching,,,baseline
85,Porites spp_encrusting,,,baseline
86,Porites spp_foliose,,,baseline
87,Porites spp_massive,,,baseline
88,Porites spp,,,baseline
89,Acanthast,,,baseline
90,Astreopora,,,baseline
91,Isopora,,,baseline
92,Coeloseris,,,baseline
93,Gardineroseris,,,baseline
94,Leptoseris,,,baseline
95,Pachyseris,,,baseline
96,Stylocoeniella,,,baseline
97,Turbinaria,,,baseline
98,Diploastrea,,,baseline
99,Euphyllia,,,baseline
100,Plerogyra,,,baseline
101,Barabattoia,,,baseline
102,Cyphastrea,,,baseline
103,Favia,,,baseline
104,Favites,,,baseline
105,Leptastrea,,,baseline
106,Montastraea,,,baseline
107,Plesiastrea,,,baseline
108,Podabacia,,,baseline
109,Ctenactis,,,baseline
110,Cycloseris,,,baseline
111,Diaseris,,,baseline
112,Fungia,,,baseline
113,Halomitra,,,baseline
114,Herpolitha,,,baseline
115,Sandalolitha,,,baseline
116,Lobophyllia,,,baseline
117,Caulastrea,,,baseline
118,Echinopora,,,baseline
119,Goniastrea,,,baseline
120,Hydnophora,,,baseline
121,Leptoria,,,baseline
122,Merulina,,,baseline
123,Oulophyllia,,,baseline
124,Paraclavarina,,,baseline
125,Platygyra,,,baseline
126,Scapophyllia,,,baseline
127,Scolymia,,,baseline
128,Symphyllia,,,baseline
129,Galaxea,,,baseline
130,Echinophyllia,,,baseline
131,Mycedium,,,baseline
132,Oxypora,,,baseline
133,Pectinia,,,baseline
134,Seriatopora,,,baseline
135,Stylophora,,,baseline
136,Alveopora,,,baseline
137,Goniopora,,,baseline
138,Coscinaraea,,,baseline
139,Psammocora,,,baseline
140,Tubastraea,,,baseline
141,Millepora,,,baseline
142,Heliopora,,,baseline
143,Lace coral,,,baseline
144,Unk_fungiid,,,baseline
145,Hydro_coral,,,baseline
146,Unk_branch,,,baseline
147,Unk_columnar,,,baseline
148,Unk_encrusting,,,baseline
149,Unk_foliose,,,baseline
150,Unk_massive,,,baseline
151,Unk_table,,,baseline
152,Sand,,,baseline
153,Fine sediment,,,baseline
154,Limestone,,,baseline
155,Basalt,,,baseline
156,Instrument,,,baseline
157,Giant clam,,,baseline
158,Anemone,,,baseline
159,Corallimorph,,,baseline
160,Sponge,,,baseline
161,Tunicate,,,baseline
162,Zoanthid,,,baseline
163,Leather coral,,,baseline
164,Octocoral,,,baseline
165,Soft_coral,,,baseline
166,Gorgonian,,,baseline
167,Hydroid,,,baseline
168,Bivalve,,,baseline
169,Bryozoan,,,baseline
170,Green Diplosoma,,,baseline
171,Black_coral,,,baseline
172,Unk_Octocorallia,,,baseline
173,Unk_soft_coral,,,baseline
