id,class,count,%,timePoint
-1,None,,,baseline
,Review,,,baseline
1,Unknown,,,baseline
2,Acropora spp.,,,baseline
3,Acropora cervicornis,,,baseline
4,Acropora palmata,,,baseline
5,Porites spp.,,,baseline
6,Porites porites,2,0.087489064,baseline
7,Porites furcata,,,baseline
8,Porites divaricata,,,baseline
9,Porites astreoides,48,2.099737533,baseline
10,Oculina spp.,,,baseline
11,Oculina robusta,,,baseline
12,Oculina varicosa,,,baseline
13,Oculina diffusa,,,baseline
14,Madracis spp.,,,baseline
15,Madracis auretenra,,,baseline
16,Madracis formosa,,,baseline
17,Madracis decactis,,,baseline
18,Dendrogyra cylindrus,,,baseline
19,Siderastrea spp.,,,baseline
20,Siderastrea siderea,3,0.131233596,baseline
21,Siderastrea radians,,,baseline
22,Stephanocoenia intersepta,,,baseline
23,Montastraea cavernosa,,,baseline
24,Orbicella spp.,,,baseline
25,Orbicella annularis,,,baseline
26,Orbicella faveolata,1,0.043744532,baseline
27,Orbicella franksi,,,baseline
28,Favia fragum,,,baseline
29,Dichocoenia stokesii,,,baseline
30,Solenastraea bournoni,,,baseline
31,Solenastraea hyades,,,baseline
32,Colpophyllia natans,,,baseline
33,Pseudodiploria spp.,,,baseline
34,Pseudodiploria strigosa,,,baseline
35,Pseudodiploria clivosa,,,baseline
36,Diploria labyrinthiformis,,,baseline
37,Manicina areolata,,,baseline
38,Meandrina spp.,,,baseline
39,Meandrina meandrites,,,baseline
40,Meandrina danae,,,baseline
41,Meandrina jacksoni,,,baseline
42,Helioseris cucullata,,,baseline
43,Agaricia spp.,,,baseline
44,Agaricia fragilis,,,baseline
45,Agaricia lamarcki,,,baseline
46, Agaricia agaricites,2,0.087489064,baseline
47,Mycetophyllia spp.,,,baseline
48,Mycetophyllia lamarckiana,,,baseline
49,Mycetophyllia aliciae,,,baseline
50,Mycetophyllia ferox,,,baseline
51,Mycetophyllia reesi,,,baseline
52,Isophyllia spp.,,,baseline
53,Isophyllia sinuosa,,,baseline
54,Isophyllia rigida,,,baseline
55,Scolymia spp.,,,baseline
56,Scolymia cubensis,,,baseline
57,Scolymia wellsi,,,baseline
58,Mussa angulosa,,,baseline
59,Eusmilia fastigiata,,,baseline
60,Octocorallia,157,6.867891514,baseline
61,Gorgonia ventalina,,,baseline
62,Xestospongia muta,,,baseline
63,Thalassia testudinum,,,baseline
64,Halimeda,,,baseline
65,Dictyota spp.,,,baseline
66,Crustose coralline algae,,,baseline
67,Porifera,26,1.13735783,baseline
68,Cnidaria,,,baseline
69,Red algae,,,baseline
70,Green algae,,,baseline
71,Brown algae,,,baseline
72,Palythoa,303,13.25459318,baseline
73,Rubble,1667,72.92213473,baseline
74,Turf algae,56,2.449693788,baseline
75,Other,6,0.262467192,baseline
76,Millepora spp.,12,0.524934383,baseline
77,Chordata,3,0.131233596,baseline
