id,class,count,%,timePoint
-1,None,,,1 year
,Review,,,1 year
1,Unknown,,,1 year
2,Acropora spp.,,,1 year
3,Acropora cervicornis,13,1.64765526,1 year
4,Acropora palmata,,,1 year
5,Porites spp.,,,1 year
6,Porites porites,,,1 year
7,Porites furcata,,,1 year
8,Porites divaricata,,,1 year
9,Porites astreoides,1,0.126742712,1 year
10,Oculina spp.,,,1 year
11,Oculina robusta,,,1 year
12,Oculina varicosa,,,1 year
13,Oculina diffusa,,,1 year
14,Madracis spp.,1,0.126742712,1 year
15,Madracis auretenra,,,1 year
16,Madracis formosa,,,1 year
17,Madracis decactis,,,1 year
18,Dendrogyra cylindrus,,,1 year
19,Siderastrea spp.,,,1 year
20,Siderastrea siderea,1,0.126742712,1 year
21,Siderastrea radians,,,1 year
22,Stephanocoenia intersepta,2,0.253485425,1 year
23,Montastraea cavernosa,,,1 year
24,Orbicella spp.,,,1 year
25,Orbicella annularis,,,1 year
26,Orbicella faveolata,,,1 year
27,Orbicella franksi,,,1 year
28,Favia fragum,,,1 year
29,Dichocoenia stokesii,,,1 year
30,Solenastraea bournoni,,,1 year
31,Solenastraea hyades,,,1 year
32,Colpophyllia natans,,,1 year
33,Pseudodiploria spp.,,,1 year
34,Pseudodiploria strigosa,,,1 year
35,Pseudodiploria clivosa,,,1 year
36,Diploria labyrinthiformis,,,1 year
37,Manicina areolata,,,1 year
38,Meandrina spp.,,,1 year
39,Meandrina meandrites,,,1 year
40,Meandrina danae,,,1 year
41,Meandrina jacksoni,,,1 year
42,Helioseris cucullata,,,1 year
43,Agaricia spp.,,,1 year
44,Agaricia fragilis,,,1 year
45,Agaricia lamarcki,,,1 year
46, Agaricia agaricites,1,0.126742712,1 year
47,Mycetophyllia spp.,,,1 year
48,Mycetophyllia lamarckiana,,,1 year
49,Mycetophyllia aliciae,,,1 year
50,Mycetophyllia ferox,,,1 year
51,Mycetophyllia reesi,,,1 year
52,Isophyllia spp.,,,1 year
53,Isophyllia sinuosa,,,1 year
54,Isophyllia rigida,,,1 year
55,Scolymia spp.,,,1 year
56,Scolymia cubensis,,,1 year
57,Scolymia wellsi,,,1 year
58,Mussa angulosa,,,1 year
59,Eusmilia fastigiata,,,1 year
60,Octocorallia,31,3.929024081,1 year
61,Gorgonia ventalina,,,
62,Xestospongia muta,,,
63,Thalassia testudinum,,,
64,Halimeda,,,
65,Dictyota spp.,,,
66,Crustose coralline algae,,,
67,Porifera,30,3.802281369,
68,Cnidaria,,,
69,Red algae,,,
70,Green algae,,,
71,Brown algae,,,
72,Palythoa,13,1.64765526,
73,Rubble,338,42.83903676,
74,Turf algae,353,44.74017744,
75,Other,2,0.253485425,
76,Millepora spp.,3,0.380228137,
77,Chordata,,,
